ensembl_gene_id	description	external_gene_name	gene_biotype
AT4G17500	Ethylene-responsive transcription factor 1A [Source:UniProtKB/Swiss-Prot;Acc:O80337]	ERF1A	protein_coding
AT2G37100	Protamine P1 family protein [Source:UniProtKB/TrEMBL;Acc:Q9ZQC7]		protein_coding
AT2G46455	OxaA/YidC-like membrane insertion protein [Source:TAIR;Acc:AT2G46455]		protein_coding
AT5G59870	Probable histone H2A.7 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJE8]	HTA6	protein_coding
AT4G36945	PLC-like phosphodiesterases superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JQJ7]		protein_coding
AT2G30000	PHD finger-like domain-containing protein 5A [Source:UniProtKB/Swiss-Prot;Acc:P0DI19]		protein_coding
AT5G19950	AT5G19950 protein [Source:UniProtKB/TrEMBL;Acc:Q8L502]		protein_coding
AT1G67960	Protein POLLEN DEFECTIVE IN GUIDANCE 1 [Source:UniProtKB/Swiss-Prot;Acc:F4HVJ3]	POD1	protein_coding
AT2G19050	GDSL esterase/lipase At2g19050 [Source:UniProtKB/Swiss-Prot;Acc:O64468]		protein_coding
AT3G43610	Spc97 / Spc98 family of spindle pole body (SBP) component [Source:UniProtKB/TrEMBL;Acc:A0A1I9LLJ3]		protein_coding
AT4G05160	4-coumarate--CoA ligase-like 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0X9]	4CLL7	protein_coding
AT2G12400	Putative uncharacterized protein At2g12400 [Source:UniProtKB/TrEMBL;Acc:Q8H0U2]		protein_coding
AT3G21070	NAD kinase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LRY1]	NADK1	protein_coding
AT5G22000	RHF2A [Source:UniProtKB/TrEMBL;Acc:A0A178UA98]	RHF2A	protein_coding
AT2G34530	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: flower; EXPRESSED DURING: petal differentiation and expansion stage; BEST Arabidopsis thaliana protein /.../ is: unknown protein (TAIR:AT2G34540.2); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT2G34530]		protein_coding
AT1G24822	F5A9.16 [Source:UniProtKB/TrEMBL;Acc:Q9FEF7]		protein_coding
AT3G12203	Serine carboxypeptidase-like 17 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7D6]	SCPL17	protein_coding
AT1G31600	Putative uncharacterized protein At1g31605 [Source:UniProtKB/TrEMBL;Acc:Q8RWY1]		protein_coding
AT1G20900	AT-hook motif nuclear-localized protein 27 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7C9]	AHL27	protein_coding
AT5G06740	Concanavalin A-like lectin protein kinase family protein [Source:TAIR;Acc:AT5G06740]		protein_coding
AT5G59170	Proline-rich extensin-like family protein [Source:UniProtKB/TrEMBL;Acc:Q84JV0]		protein_coding
AT4G34990	Transcription factor MYB32 [Source:UniProtKB/Swiss-Prot;Acc:O49608]	MYB32	protein_coding
AT1G26230	Cpn60beta4 [Source:UniProtKB/TrEMBL;Acc:A0A178WH16]	CPN60B4	protein_coding
AT3G46010	Actin depolymerizing factor 1 [Source:UniProtKB/TrEMBL;Acc:A8MR09]	ADF1	protein_coding
AT1G75670	DNA-directed RNA polymerase [Source:UniProtKB/TrEMBL;Acc:Q8H1F8]		protein_coding
AT4G18070	AT4G18070 protein [Source:UniProtKB/TrEMBL;Acc:Q8VZS7]		protein_coding
AT4G02450	AT4g02450/T14P8_5 [Source:UniProtKB/TrEMBL;Acc:Q8L7U4]		protein_coding
AT5G40790	Emb|CAB62340.1 [Source:UniProtKB/TrEMBL;Acc:Q9FKS7]		protein_coding
AT1G49475	B3 domain-containing protein At1g49475 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIB4]		protein_coding
AT1G76370	Probable serine/threonine-protein kinase PBL22 [Source:UniProtKB/Swiss-Prot;Acc:Q9SFX0]	PBL22	protein_coding
AT5G38650	Gb|AAB95243.1 [Source:UniProtKB/TrEMBL;Acc:Q9FFV7]		protein_coding
AT5G15260	AT5g15260/F8M21_150 [Source:UniProtKB/TrEMBL;Acc:Q8VYH4]		protein_coding
AT3G43740			protein_coding
AT4G22000	At4g22000 [Source:UniProtKB/TrEMBL;Acc:O65448]		protein_coding
AT3G48890	Membrane steroid-binding protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2Z4]	MSBP2	protein_coding
AT3G14463			protein_coding
AT5G33340	Aspartic proteinase CDR1 [Source:UniProtKB/Swiss-Prot;Acc:Q6XBF8]	CDR1	protein_coding
AT1G51910	Protein kinase family protein [Source:UniProtKB/TrEMBL;Acc:F4IB76]		protein_coding
AT1G80220	Protein of unknown function (DUF1644) [Source:TAIR;Acc:AT1G80220]		protein_coding
AT5G20120	At5g20120 [Source:UniProtKB/TrEMBL;Acc:Q84VV3]		protein_coding
AT5G15620	Putative F-box/LRR-repeat protein At5g15620 [Source:UniProtKB/Swiss-Prot;Acc:Q9LF20]		protein_coding
AT5G07270	XBAT33 [Source:UniProtKB/TrEMBL;Acc:A0A178U6J8]	XBAT33	protein_coding
AT5G41970	Metal-dependent protein hydrolase [Source:UniProtKB/TrEMBL;Acc:F4K000]		protein_coding
AT3G29639	BEST Arabidopsis thaliana protein match is: SPOC domain / Transcription elongation factor S-II protein (TAIR:AT5G11430.1); Has 45 Blast hits to 45 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 45; Viruses - 0; Oth /.../aryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G29639]		protein_coding
AT3G62500	F-box protein RMF [Source:UniProtKB/TrEMBL;Acc:A0A1I9LQ20]		protein_coding
AT1G36970	Domain of unknown function (DUF1985) [Source:TAIR;Acc:AT1G36970]		protein_coding
AT1G01410	Putative pumilio homolog 22 [Source:UniProtKB/Swiss-Prot;Acc:Q9LNI2]	APUM22	protein_coding
AT5G23010	methylthioalkylmalate synthase 1 [Source:TAIR;Acc:AT5G23010]	MAM1	protein_coding
AT5G46750	AGD9 [Source:UniProtKB/TrEMBL;Acc:A0A178UAW4]	AGD9	protein_coding
AT1G80745	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q1G3W0]		protein_coding
AT3G10310	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LMT1]		protein_coding
AT2G07632			protein_coding
AT1G01170	At1g01170 [Source:UniProtKB/TrEMBL;Acc:Q2HIQ2]		protein_coding
AT5G42040	Putative 26S proteasome non-ATPase regulatory subunit 8 homolog B [Source:UniProtKB/Swiss-Prot;Acc:Q9FHY0]	RPN12B	protein_coding
AT1G06640	1-aminocyclopropane-1-carboxylate oxidase homolog 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5K7]		protein_coding
AT1G02080	CCR4-NOT transcription complex subunit 1 domain protein [Source:UniProtKB/TrEMBL;Acc:F4HVV6]		protein_coding
AT1G17800	At1g17800 [Source:UniProtKB/TrEMBL;Acc:Q9LMU7]	ENODL22	protein_coding
AT1G74400	Putative pentatricopeptide repeat-containing protein At1g74400 [Source:UniProtKB/Swiss-Prot;Acc:Q9CA73]	PCMP-E68	protein_coding
AT1G74150	Kelch motif-containing protein [Source:UniProtKB/TrEMBL;Acc:F4HTV1]		protein_coding
AT1G20380	Prolyl oligopeptidase family protein [Source:UniProtKB/TrEMBL;Acc:F4HSS5]		protein_coding
AT1G08180	Cyclin-dependent protein kinase inhibitor SMR2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SGE2]	SMR2	protein_coding
AT5G15480	C2H2-type zinc finger family protein [Source:UniProtKB/TrEMBL;Acc:Q9LF34]		protein_coding
AT4G35830	Aconitate hydratase [Source:UniProtKB/TrEMBL;Acc:A0A178V2T4]	ACO1	protein_coding
AT1G58090	Putative F-box protein At1g58090 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6F7]		protein_coding
AT3G46600	Scarecrow-like protein 30 [Source:UniProtKB/Swiss-Prot;Acc:Q9SNB8]	SCL30	protein_coding
AT1G16250	F-box/kelch-repeat protein At1g16250 [Source:UniProtKB/Swiss-Prot;Acc:Q0WW40]		protein_coding
AT1G03920	Putative serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:F4I2K0]		protein_coding
AT3G11402	Cysteine/Histidine-rich C1 domain family protein [Source:UniProtKB/TrEMBL;Acc:Q3EB86]		protein_coding
AT5G45490	Probable disease resistance protein At5g45490 [Source:UniProtKB/Swiss-Prot;Acc:Q9FHI7]		protein_coding
AT2G42725	Transcription factor [Source:UniProtKB/TrEMBL;Acc:A0A1P8AZ37]		protein_coding
AT2G18915	Adagio protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8W420]	ADO2	protein_coding
AT3G25750	Putative F-box protein At3g25750 [Source:UniProtKB/Swiss-Prot;Acc:Q9LS04]		protein_coding
AT1G67550	Urease [Source:UniProtKB/Swiss-Prot;Acc:Q9SR52]	URE	protein_coding
AT5G56270	Probable WRKY transcription factor 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FG77]	WRKY2	protein_coding
AT5G59310	Non-specific lipid-transfer protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LLR6]	LTP4	protein_coding
AT3G19520	Protein of unknown function (DUF626) [Source:TAIR;Acc:AT3G19520]		protein_coding
AT3G32047	Cytochrome P450 superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JA71]		protein_coding
AT3G20470	Glycine-rich protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTP5]	GRP5	protein_coding
AT3G42150	At3g42150 [Source:UniProtKB/TrEMBL;Acc:Q9M2N7]		protein_coding
AT1G59780	Putative disease resistance protein At1g59780 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIF0]		protein_coding
AT1G67370	Meiosis-specific protein ASY1 [Source:UniProtKB/Swiss-Prot;Acc:F4HRV8]	ASY1	protein_coding
AT4G02890	Polyubiquitin 14 [Source:UniProtKB/Swiss-Prot;Acc:Q3E7T8]	UBQ14	protein_coding
AT5G54148	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G54150.1); Has 104 Blast hits to 102 proteins in 23 species: Archae - 0; Bacteria - 0; Metazoa - 11; Fungi - 0; Plants - 88; Viruses - 0; Other Eukaryotes - 5 (sou /.../CBI BLink). [Source:TAIR;Acc:AT5G54148]		protein_coding
AT5G23370	Putative GEM-like protein 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMW4]		protein_coding
AT5G58620	Zinc finger CCCH domain-containing protein 66 [Source:UniProtKB/Swiss-Prot;Acc:Q9LUZ4]		protein_coding
AT3G26340	Proteasome subunit beta type [Source:UniProtKB/TrEMBL;Acc:A0A178VFG8]	PBE2	protein_coding
AT3G04090	SIP1A [Source:UniProtKB/TrEMBL;Acc:A0A178V5Y6]	SIP1-1	protein_coding
AT1G14345	NAD(P)-linked oxidoreductase-like protein [Source:UniProtKB/TrEMBL;Acc:Q949S6]		protein_coding
AT4G03205	Coproporphyrinogen III oxidase [Source:TAIR;Acc:AT4G03205]	hemf2	protein_coding
AT1G11545	Xyloglucan endotransglucosylase/hydrolase [Source:UniProtKB/TrEMBL;Acc:A0A178W0W2]	XTH8	protein_coding
AT1G28375	At1g28375 [Source:UniProtKB/TrEMBL;Acc:Q9SGN5]		protein_coding
AT4G00155	Retrotransposon Gag [Source:UniProtKB/TrEMBL;Acc:A0A1P8B386]		protein_coding
AT5G19240	Uncharacterized GPI-anchored protein At5g19240 [Source:UniProtKB/Swiss-Prot;Acc:Q84VZ5]		protein_coding
AT1G30515	At1g30515 [Source:UniProtKB/TrEMBL;Acc:Q8L8T4]		protein_coding
AT1G12470	Zinc ion binding protein [Source:UniProtKB/TrEMBL;Acc:F4IDS7]		protein_coding
AT5G07000	Cytosolic sulfotransferase 14 [Source:UniProtKB/Swiss-Prot;Acc:Q8GZ53]	SOT14	protein_coding
AT1G09190	Pentatricopeptide repeat-containing protein At1g09190 [Source:UniProtKB/Swiss-Prot;Acc:O80488]	PCMP-E70	protein_coding
AT1G54773			protein_coding
AT3G16700	Fumarylacetoacetate (FAA) hydrolase family [Source:UniProtKB/TrEMBL;Acc:Q9LUR3]		protein_coding
AT1G66050	E3 ubiquitin-protein ligase ORTHRUS 5 [Source:UniProtKB/Swiss-Prot;Acc:Q680I0]	ORTH5	protein_coding
AT5G60310	Putative L-type lectin-domain containing receptor kinase I.10 [Source:UniProtKB/Swiss-Prot;Acc:Q3E884]	LECRK110	protein_coding
AT5G59610	Chaperone DnaJ-domain superfamily protein [Source:TAIR;Acc:AT5G59610]		protein_coding
ATCG01310	50S ribosomal protein L2, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A1B1W512]	rpl2-A	protein_coding
AT1G55840	At1g55840/F14J16_2 [Source:UniProtKB/TrEMBL;Acc:Q8W580]		protein_coding
AT4G26480	KH domain-containing protein At4g26480 [Source:UniProtKB/Swiss-Prot;Acc:Q0WLR1]		protein_coding
AT2G27780	Putative uncharacterized protein At2g27780 [Source:UniProtKB/TrEMBL;Acc:Q9ZUX9]		protein_coding
AT2G21690	Putative glycine-rich RNA binding protein [Source:UniProtKB/TrEMBL;Acc:Q9SJ28]		protein_coding
AT2G22060	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q9SHZ9]		protein_coding
AT3G49580	LSU1 [Source:UniProtKB/TrEMBL;Acc:A0A178VF66]	LSU1	protein_coding
AT5G58230	Histone-binding protein MSI1 [Source:UniProtKB/Swiss-Prot;Acc:O22467]	MSI1	protein_coding
AT5G25280	AT5g25280/F18G18_20 [Source:UniProtKB/TrEMBL;Acc:Q93WB2]		protein_coding
AT5G60070	Ankyrin repeat family protein [Source:UniProtKB/TrEMBL;Acc:Q9LVG7]		protein_coding
AT3G04230	40S ribosomal protein S16-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9M8X9]	RPS16B	protein_coding
AT5G14730	At5g14730 [Source:UniProtKB/TrEMBL;Acc:Q9LER3]		protein_coding
AT5G44170	At5g44170 [Source:UniProtKB/TrEMBL;Acc:Q9FFH2]		protein_coding
AT3G07040	Disease resistance protein RPM1 [Source:UniProtKB/Swiss-Prot;Acc:Q39214]	RPM1	protein_coding
AT3G18140	LST8-1 [Source:UniProtKB/TrEMBL;Acc:A0A178VME6]		protein_coding
AT3G48450	At3g48450 [Source:UniProtKB/TrEMBL;Acc:Q8LCF4]		protein_coding
AT3G42780	Putative uncharacterized protein F7P3_70 [Source:UniProtKB/TrEMBL;Acc:Q9M189]		protein_coding
AT1G01580	ferric reduction oxidase 2 [Source:TAIR;Acc:AT1G01580]	FRO2	protein_coding
AT1G64690	branchless trichome [Source:TAIR;Acc:AT1G64690]	BLT	protein_coding
AT2G28810	Dof zinc finger protein DOF2.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV33]	DOF2.2	protein_coding
AT1G72650	Myb family transcription factor TRFL6 [Source:UniProtKB/TrEMBL;Acc:F4IDF1]	TRFL6	protein_coding
AT1G19520	pentatricopeptide (PPR) repeat-containing protein [Source:TAIR;Acc:AT1G19520]	NFD5	protein_coding
AT3G02150	Transcription factor TCP13 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7W5]	TCP13	protein_coding
AT1G48490	Protein kinase superfamily protein [Source:TAIR;Acc:AT1G48490]		protein_coding
AT4G00163			protein_coding
AT3G10820	Probable mediator of RNA polymerase II transcription subunit 26a [Source:UniProtKB/Swiss-Prot;Acc:F4J4Y5]	MED26A	protein_coding
AT3G18290	Zinc finger protein BRUTUS [Source:UniProtKB/Swiss-Prot;Acc:Q8LPQ5]	BTS	protein_coding
AT2G20680	Mannan endo-1,4-beta-mannosidase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q7Y223]	MAN2	protein_coding
AT3G19760	DEAD-box ATP-dependent RNA helicase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94A52]	EIF4A3	protein_coding
AT5G07020	Proline-rich family protein [Source:UniProtKB/TrEMBL;Acc:Q9FL44]		protein_coding
AT4G31760	Peroxidase 46 [Source:UniProtKB/Swiss-Prot;Acc:O81772]	PER46	protein_coding
AT5G39720	At5g39720 [Source:UniProtKB/TrEMBL;Acc:A2RVP6]	AIG2LA	protein_coding
AT1G18600	RBL12 [Source:UniProtKB/TrEMBL;Acc:A0A178WDJ5]	RBL12	protein_coding
AT2G44120	60S ribosomal protein L7-3 [Source:UniProtKB/TrEMBL;Acc:F4IT48]		protein_coding
AT4G32300	G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5 [Source:UniProtKB/Swiss-Prot;Acc:Q8RWZ5]	SD25	protein_coding
AT3G62130	LCD [Source:UniProtKB/TrEMBL;Acc:A0A178VKW4]	LCD	protein_coding
AT1G25112	At1g25025 [Source:UniProtKB/TrEMBL;Acc:Q9FDZ2]		protein_coding
AT1G10717	EMBRYO SURROUNDING FACTOR 1.3 [Source:UniProtKB/Swiss-Prot;Acc:A8MQA5]	ESF1.3	protein_coding
AT1G24510	T-complex protein 1 subunit epsilon [Source:UniProtKB/Swiss-Prot;Acc:O04450]	CCT5	protein_coding
AT5G56870	Beta-galactosidase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9SCV8]	BGAL4	protein_coding
AT5G11690	Mitochondrial import inner membrane translocase subunit TIM17-3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYG1]	TIM17-3	protein_coding
AT1G51450	Protein TRAUCO [Source:UniProtKB/Swiss-Prot;Acc:Q9C8J7]	TRO	protein_coding
AT3G55860	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q6DYC4]		protein_coding
AT5G26622	Beta-galactosidase related protein [Source:UniProtKB/TrEMBL;Acc:Q2V346]		protein_coding
AT5G56650	At5g56650 [Source:UniProtKB/TrEMBL;Acc:Q67YZ8]	ILL1	protein_coding
AT1G33612	Leucine-rich repeat (LRR) family protein [Source:UniProtKB/TrEMBL;Acc:F4HR92]		protein_coding
AT3G47800	Aldose 1-epimerase [Source:UniProtKB/TrEMBL;Acc:Q9STT3]		protein_coding
AT3G46190	TRAF-like family protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LN71]		protein_coding
AT2G34520	At2g34520 [Source:UniProtKB/TrEMBL;Acc:Q9SMX4]	RPS14	protein_coding
AT1G60190	U-box domain-containing protein 19 [Source:UniProtKB/Swiss-Prot;Acc:O80742]	PUB19	protein_coding
AT3G61750	Cytochrome b561 and DOMON domain-containing protein At3g61750 [Source:UniProtKB/Swiss-Prot;Acc:Q9M363]		protein_coding
AT3G30370	MuDR family transposase [Source:UniProtKB/TrEMBL;Acc:Q9LI63]		protein_coding
AT1G31430	Pentatricopeptide repeat-containing protein At1g31430 [Source:UniProtKB/Swiss-Prot;Acc:Q9C866]	PCMP-E55	protein_coding
AT3G49890	unknown protein; Has 27 Blast hits to 27 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 0; Plants - 21; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink). [Source:TAIR;Acc:AT3G49890]		protein_coding
AT5G45130	RAB homolog 1 [Source:TAIR;Acc:AT5G45130]	ATRAB5A	protein_coding
AT5G38490	B3 domain-containing protein At5g38490 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFX2]		protein_coding
AT1G07485	Putative uncharacterized protein At1g07490 [Source:UniProtKB/TrEMBL;Acc:Q67XE6]		protein_coding
AT5G55900	At5g55900 [Source:UniProtKB/TrEMBL;Acc:Q9FG75]		protein_coding
AT2G37510	RNA-binding (RRM/RBD/RNP motifs) family protein [Source:TAIR;Acc:AT2G37510]		protein_coding
AT5G25754	Eukaryotic translation initiation factor 3 subunit L [Source:UniProtKB/TrEMBL;Acc:F4JY76]		protein_coding
AT5G01810	CBL-interacting serine/threonine-protein kinase 15 [Source:UniProtKB/Swiss-Prot;Acc:P92937]	CIPK15	protein_coding
AT2G42440	LOB domain-containing protein 17 [Source:UniProtKB/Swiss-Prot;Acc:Q9SLB6]	LBD17	protein_coding
AT3G57490	40S ribosomal protein S2-4 [Source:UniProtKB/Swiss-Prot;Acc:Q9SCM3]	RPS2D	protein_coding
AT3G63210	Protein MARD1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LGS1]	MARD1	protein_coding
AT1G76530	Protein PIN-LIKES 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9K4]	PILS4	protein_coding
AT3G23660	Sec23/Sec24 protein transport family protein [Source:UniProtKB/TrEMBL;Acc:F4J462]		protein_coding
AT1G10750	Putative carboxyl-terminal peptidase [Source:UniProtKB/TrEMBL;Acc:Q84JS7]		protein_coding
AT1G12000	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8W4M5]	PFP-BETA1	protein_coding
AT1G55490	LEN1 [Source:UniProtKB/TrEMBL;Acc:A0A178W724]	CPN60B1	protein_coding
AT4G10030	Hydrolase, alpha/beta fold family protein [Source:UniProtKB/TrEMBL;Acc:Q9T0G1]		protein_coding
AT4G34020	Protein DJ-1 homolog C [Source:UniProtKB/Swiss-Prot;Acc:Q8VY09]	DJ1C	protein_coding
AT1G68840	TEM2 [Source:UniProtKB/TrEMBL;Acc:A0A178WNP0]	RAV2	protein_coding
AT2G16270	Putative uncharacterized protein At2g16270 [Source:UniProtKB/TrEMBL;Acc:Q9SIX2]		protein_coding
AT5G59040	Copper transporter 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGU8]	COPT3	protein_coding
AT2G24390	AIG2-like protein D [Source:UniProtKB/Swiss-Prot;Acc:A8MRP2]	AIG2LD	protein_coding
AT5G62520	Probable inactive poly [ADP-ribose] polymerase SRO5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJJ3]	SRO5	protein_coding
AT1G04590	BEST Arabidopsis thaliana protein match is: Pentatricopeptide repeat (PPR) superfamily protein (TAIR:AT4G21190.1); Has 111 Blast hits to 111 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 109; Viruses - 0; Other E /.../tes - 2 (source: NCBI BLink). [Source:TAIR;Acc:AT1G04590]		protein_coding
AT2G47810	NF-YB5 [Source:UniProtKB/TrEMBL;Acc:A0A178VUG0]	NFYB5	protein_coding
AT5G23930	Mitochondrial transcription termination factor family protein [Source:UniProtKB/TrEMBL;Acc:Q9FF87]		protein_coding
AT1G47230	Cyclin-A3-4 [Source:UniProtKB/Swiss-Prot;Acc:Q3ECW2]	CYCA3-4	protein_coding
AT3G04855	unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT3G04855]		protein_coding
AT3G06770	Pectin lyase-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LN94]		protein_coding
AT3G24250	At3g24250 [Source:UniProtKB/TrEMBL;Acc:Q6NPS5]		protein_coding
AT5G67310	At5g67310 [Source:UniProtKB/TrEMBL;Acc:Q8GZ20]	CYP81G1	protein_coding
AT2G35720	Chaperone protein dnaJ 13 [Source:UniProtKB/Swiss-Prot;Acc:Q39079]	ATJ13	protein_coding
AT2G07722	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:ATMG00620.1); Has 15 Blast hits to 15 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 15; Viruses - 0; Other Eukaryotes - 0 (source: /.../BLink). [Source:TAIR;Acc:AT2G07722]		protein_coding
AT2G19990	PR-1-like protein [Source:UniProtKB/TrEMBL;Acc:A0A178VRT6]	PR-1-LIKE	protein_coding
AT5G61660	At5g61660 [Source:UniProtKB/TrEMBL;Acc:Q9FKF5]		protein_coding
AT2G39920	Uncharacterized protein At2g39920 [Source:UniProtKB/Swiss-Prot;Acc:O04195]		protein_coding
AT1G55700	Cysteine/histidine-rich C1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q9ZWD7]		protein_coding
AT5G17750	AAA-ATPase At5g17750 [Source:UniProtKB/Swiss-Prot;Acc:F4KID5]		protein_coding
AT3G56680	AT3g56680/T8M16_10 [Source:UniProtKB/TrEMBL;Acc:Q9LET8]		protein_coding
AT1G09310	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q9ZPZ4]		protein_coding
AT3G50200	Putative uncharacterized protein F11C1_40 [Source:UniProtKB/TrEMBL;Acc:Q9SNE7]		protein_coding
AT1G53900	Eukaryotic translation initiation factor 2B (eIF-2B) family protein [Source:TAIR;Acc:AT1G53900]		protein_coding
AT2G44240	At2g44240/F4I1.5 [Source:UniProtKB/TrEMBL;Acc:O64859]		protein_coding
AT1G68200	Zinc finger CCCH domain-containing protein 15 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9F5]		protein_coding
AT5G49000	F-box/kelch-repeat protein At5g49000 [Source:UniProtKB/Swiss-Prot;Acc:Q9FI70]		protein_coding
AT1G68290	Endonuclease 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9G4]	ENDO2	protein_coding
AT1G47970	At1g47970 [Source:UniProtKB/TrEMBL;Acc:Q9C7Y9]		protein_coding
AT5G13860	Protein ELC-like [Source:UniProtKB/Swiss-Prot;Acc:Q9FFY6]	ELCL	protein_coding
AT2G46860	PPa3 [Source:UniProtKB/TrEMBL;Acc:A0A178VZ15]	PPA3	protein_coding
AT5G06645	Gibberellin-regulated-like protein [Source:UniProtKB/TrEMBL;Acc:A0A1P8BCW1]		protein_coding
AT5G10050	At5g10050 [Source:UniProtKB/TrEMBL;Acc:Q147P9]		protein_coding
AT4G24973	S-protein homolog 18 [Source:UniProtKB/Swiss-Prot;Acc:B3H730]	SPH18	protein_coding
AT2G35680	Putative dual specificity protein phosphatase DSP8 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZQP1]	DSP8	protein_coding
AT4G24070	Carbon-carbon lyase [Source:UniProtKB/TrEMBL;Acc:O22983]		protein_coding
AT1G10230	SKP1-like protein 18 [Source:UniProtKB/Swiss-Prot;Acc:Q9SY65]	ASK18	protein_coding
AT2G06425	PttA/En/Spm family plant transposase [Source:UniProtKB/TrEMBL;Acc:A0A1P8B1Y9]		protein_coding
AT5G14640	Shaggy-related protein kinase epsilon [Source:UniProtKB/Swiss-Prot;Acc:Q8VZD5]	ASK5	protein_coding
AT3G52030	F-box/WD-40 repeat-containing protein At3g52030 [Source:UniProtKB/Swiss-Prot;Acc:Q9SV01]		protein_coding
AT3G54940	Probable cysteine protease RD19D [Source:UniProtKB/Swiss-Prot;Acc:Q8VYS0]	RD19D	protein_coding
AT3G05080	At3g05080 [Source:UniProtKB/TrEMBL;Acc:Q9MAB1]		protein_coding
AT4G21585	endonuclease 4 [Source:TAIR;Acc:AT4G21585]	ENDO4	protein_coding
AT1G52260	Protein disulfide isomerase-like 1-5 [Source:UniProtKB/Swiss-Prot;Acc:A3KPF5]	PDIL1-5	protein_coding
AT5G60720	Protein of unknown function, DUF547 [Source:TAIR;Acc:AT5G60720]		protein_coding
AT4G04210	PUX4 [Source:UniProtKB/TrEMBL;Acc:A0A178V2K4]	PUX4	protein_coding
AT5G07990	TT7 [Source:UniProtKB/TrEMBL;Acc:A0A178UNZ9]	CYP75B1	protein_coding
AT2G45310	UDP-glucuronate 4-epimerase 4 [Source:UniProtKB/Swiss-Prot;Acc:O22141]	GAE4	protein_coding
